response_id,course,class_number,student_id,question_number,question_response,clean_q4,emotion_scores,0,anger,disgust,fear,joy,neutral,sadness,surprise
52,COM212,5,6438,4,not as of yet,,,,,,,,,,
53,COM212,5,6594,4,allow for more time to ask questions,allow for more time to ask questions,"{'anger': 0.0191, 'disgust': 0.0109, 'fear': 0.0149, 'joy': 0.0053, 'neutral': 0.9117, 'sadness': 0.0174, 'surprise': 0.0207}",,0.0191,0.0109,0.0149,0.0053,0.9117,0.0174,0.0207
54,COM212,5,6575,4,I would like to go over more Java in class.,I would like to go over more Java in class.,"{'anger': 0.0166, 'disgust': 0.0157, 'fear': 0.0205, 'joy': 0.4844, 'neutral': 0.1434, 'sadness': 0.3092, 'surprise': 0.0101}",,0.0166,0.0157,0.0205,0.4844,0.1434,0.3092,0.0101
55,COM212,5,6285,4,,,,,,,,,,,
56,COM212,5,6702,4,None.,,,,,,,,,,
57,COM212,5,6598,4,I'm hungry,,,,,,,,,,
58,COM212,5,6596,4,we need to go over the basics more,we need to go over the basics more,"{'anger': 0.0072, 'disgust': 0.0075, 'fear': 0.0079, 'joy': 0.0052, 'neutral': 0.9534, 'sadness': 0.0092, 'surprise': 0.0095}",,0.0072,0.0075,0.0079,0.0052,0.9534,0.0092,0.0095
59,COM212,5,6406,4,I would like it if all the content in the textbooks be covered in class as the text itself can be rather verbose. I understand that time constraints might prevent this,I would like it if all the content in the textbooks be covered in class as the text itself can be rather verbose. I understand that time constraints might prevent this,"{'anger': 0.0126, 'disgust': 0.0801, 'fear': 0.0042, 'joy': 0.0102, 'neutral': 0.8741, 'sadness': 0.014, 'surprise': 0.0048}",,0.0126,0.0801,0.0042,0.0102,0.8741,0.014,0.0048
60,COM212,5,6588,4,No,,,,,,,,,,
61,COM212,5,6577,4,More coding in class. Looking at and reading slides is difficult to focus on sometimes.,More coding in class. Looking at and reading slides is difficult to focus on sometimes.,"{'anger': 0.0401, 'disgust': 0.4183, 'fear': 0.081, 'joy': 0.0023, 'neutral': 0.208, 'sadness': 0.2285, 'surprise': 0.0217}",,0.0401,0.4183,0.081,0.0023,0.208,0.2285,0.0217
62,COM212,5,6405,4,nope,,,,,,,,,,
63,COM212,5,6286,4,"I am still quite behind in most of my classes because of the flu and just arriving on campus later than everyone else, I'm hoping that i can have a bit of grace with assignment flexibility in due dates so that i can catch up and be at the same pace as the rest of the class.","I am still quite behind in most of my classes because of the flu and just arriving on campus later than everyone else, I'm hoping that i can have a bit of grace with assignment flexibility in due dates so that i can catch up and be at the same pace as the rest of the class.","{'anger': 0.006, 'disgust': 0.002, 'fear': 0.0083, 'joy': 0.3119, 'neutral': 0.5593, 'sadness': 0.0778, 'surprise': 0.0347}",,0.006,0.002,0.0083,0.3119,0.5593,0.0778,0.0347
64,COM212,5,6194,4,"I feel like the homework assignments do not reflect the work we do in class, so sitting down to do it and it is unfamiliar is discouraging. The TA sessions are helpful, but it would be nice to have something that I feel prepared to figure out on my own.","I feel like the homework assignments do not reflect the work we do in class, so sitting down to do it and it is unfamiliar is discouraging. The TA sessions are helpful, but it would be nice to have something that I feel prepared to figure out on my own.","{'anger': 0.0041, 'disgust': 0.0276, 'fear': 0.2619, 'joy': 0.2888, 'neutral': 0.3483, 'sadness': 0.057, 'surprise': 0.0123}",,0.0041,0.0276,0.2619,0.2888,0.3483,0.057,0.0123
110,COM212,7,6406,4,nothing right now,,,,,,,,,,
111,COM212,7,6702,4,5,,,,,,,,,,
112,COM212,7,6598,4,,,,,,,,,,,
