"response_id","course","class_number","student_id","question_number","question_response"
52,"COM212",5,6438,4,"not as of yet"
53,"COM212",5,6594,4,"allow for more time to ask questions"
54,"COM212",5,6575,4,"I would like to go over more Java in class."
55,"COM212",5,6285,4,"N/A"
56,"COM212",5,6702,4,"None."
57,"COM212",5,6598,4,"I'm hungry"
58,"COM212",5,6596,4,"we need to go over the basics more"
59,"COM212",5,6406,4,"I would like it if all the content in the textbooks be covered in class as the text itself can be rather verbose. I understand that time constraints might prevent this"
60,"COM212",5,6588,4,"No"
61,"COM212",5,6577,4,"More coding in class. Looking at and reading slides is difficult to focus on sometimes."
62,"COM212",5,6405,4,"nope"
63,"COM212",5,6286,4,"I am still quite behind in most of my classes because of the flu and just arriving on campus later than everyone else, I'm hoping that i can have a bit of grace with assignment flexibility in due dates so that i can catch up and be at the same pace as the rest of the class."
64,"COM212",5,6194,4,"I feel like the homework assignments do not reflect the work we do in class, so sitting down to do it and it is unfamiliar is discouraging. The TA sessions are helpful, but it would be nice to have something that I feel prepared to figure out on my own."
110,"COM212",7,6406,4,"nothing right now"
111,"COM212",7,6702,4,"5"
112,"COM212",7,6598,4,NA
113,"COM212",7,6438,4,"the ta is kind of harsh"
114,"COM212",7,6374,4,"n/a"
115,"COM212",7,6286,4,"I am still grieving so I might not be operating at 100% these days..."
116,"COM212",7,6573,4,"I feel kind of left behind being sick for so long and stressed out catching up on all of my work"
117,"COM212",7,6594,4,"hope you had a great snowday"
118,"COM212",7,6575,4,"hard day but im glad to be here in class"
119,"COM212",7,6588,4,"no"
120,"COM212",7,6405,4,"nope"
166,"COM212",8,6596,4,"nope"
167,"COM212",8,6594,4,"im super tired from all the work this week and being slightly sick please take it easy on me today"
168,"COM212",8,6406,4,"nothing today"
169,"COM212",8,6702,4,"No."
170,"COM212",8,6374,4,"n/a"
171,"COM212",8,6194,4,"no"
172,"COM212",8,6573,4,"Its a gloomy day & I'm trying very hard to grasp the material in this class but I'm having a hard time."
173,"COM212",8,6438,4,"All good right now"
174,"COM212",8,6575,4,"happy to be here it's hard but im happy to work"
175,"COM212",8,6598,4,"no"
176,"COM212",8,6286,4,"I'm struggling alot, but im still trying to show up and put in the most effort i can."
177,"COM212",8,6405,4,"nope"
235,"COM212",9,6438,4,"im scared for the midterm sir"
236,"COM212",9,6596,4,"please slow down"
237,"COM212",9,6575,4,"very glad to be in this class today"
238,"COM212",9,6573,4,"I'm very stressed out with the season starting back up"
239,"COM212",9,6285,4,NA
240,"COM212",9,6286,4,"Feeling like I'm coming much much closer to catching up, not there yet but I'm feeling more accustomed to everything as time goes on. I need help fixing errors in my PA then I'm going to finish catching up on the HW"
241,"COM212",9,6405,4,"nope"
242,"COM212",9,6577,4,"Nervous for the midterm, do not think i will be prepared. think writing it out on paper is whole different ball game."
243,"COM212",9,6598,4,"My laptop got a virus I'm stressed"
244,"COM212",9,6702,4,"None."
245,"COM212",9,6406,4,"doing more coding homework to build competency with java"
246,"COM212",9,6374,4,"n/a"
