response_id,course,class_number,student_id,question_number,question_response,summary
52,COM212,5,6438,4,not as of yet,NA
53,COM212,5,6594,4,allow for more time to ask questions,I would benefit from having more time to ask questions during class.
54,COM212,5,6575,4,I would like to go over more Java in class.,I would like to spend more time covering Java in class.
55,COM212,5,6285,4,,NA
56,COM212,5,6702,4,None.,NA
57,COM212,5,6598,4,I'm hungry,NA
58,COM212,5,6596,4,we need to go over the basics more,I would benefit from reviewing the basics more thoroughly in class.
59,COM212,5,6406,4,I would like it if all the content in the textbooks be covered in class as the text itself can be rather verbose. I understand that time constraints might prevent this,"I would appreciate if all textbook content could be covered in class, as the text is verbose and harder to follow on my own."
60,COM212,5,6588,4,No,NA
61,COM212,5,6577,4,More coding in class. Looking at and reading slides is difficult to focus on sometimes.,"I would benefit from more coding activities in class, as just reading slides makes it hard for me to focus."
62,COM212,5,6405,4,nope,NA
63,COM212,5,6286,4,"I am still quite behind in most of my classes because of the flu and just arriving on campus later than everyone else, I'm hoping that i can have a bit of grace with assignment flexibility in due dates so that i can catch up and be at the same pace as the rest of the class.","I am behind due to illness and a late campus arrival, so flexibility with assignment due dates would help me catch up and stay on pace with the class."
64,COM212,5,6194,4,"I feel like the homework assignments do not reflect the work we do in class, so sitting down to do it and it is unfamiliar is discouraging. The TA sessions are helpful, but it would be nice to have something that I feel prepared to figure out on my own.","I find the homework assignments disconnected from classwork, making them discouraging; I would appreciate assignments that better align with what we cover in class so I feel more prepared to tackle them independently."
110,COM212,7,6406,4,nothing right now,NA
111,COM212,7,6702,4,5,NA
112,COM212,7,6598,4,,NA
113,COM212,7,6438,4,the ta is kind of harsh,"The TA's demeanor feels harsh, which affects my comfort in the course."
114,COM212,7,6374,4,,NA
115,COM212,7,6286,4,I am still grieving so I might not be operating at 100% these days...,"I'm currently grieving, so I may not be operating at my full capacity right now."
116,COM212,7,6573,4,I feel kind of left behind being sick for so long and stressed out catching up on all of my work,I have fallen behind due to illness and am stressed about catching up on all my work.
117,COM212,7,6594,4,hope you had a great snowday,NA
118,COM212,7,6575,4,hard day but im glad to be here in class,NA
119,COM212,7,6588,4,no,NA
120,COM212,7,6405,4,nope,NA
166,COM212,8,6596,4,nope,NA
167,COM212,8,6594,4,im super tired from all the work this week and being slightly sick please take it easy on me today,"I'm feeling tired and slightly sick from a heavy workload this week, so I'd appreciate it if you could go easy on me today."
168,COM212,8,6406,4,nothing today,NA
169,COM212,8,6702,4,No.,NA
170,COM212,8,6374,4,,NA
171,COM212,8,6194,4,no,NA
172,COM212,8,6573,4,Its a gloomy day & I'm trying very hard to grasp the material in this class but I'm having a hard time.,I'm having a hard time grasping the material in this class and would appreciate additional support.
173,COM212,8,6438,4,All good right now,NA
174,COM212,8,6575,4,happy to be here it's hard but im happy to work,NA
175,COM212,8,6598,4,no,NA
176,COM212,8,6286,4,"I'm struggling alot, but im still trying to show up and put in the most effort i can.",I'm struggling a lot but am making an effort to attend and participate fully in the course.
177,COM212,8,6405,4,nope,NA
235,COM212,9,6438,4,im scared for the midterm sir,I'm feeling anxious about the upcoming midterm.
236,COM212,9,6596,4,please slow down,I would be more comfortable if the pace of the class was slower.
237,COM212,9,6575,4,very glad to be in this class today,NA
238,COM212,9,6573,4,I'm very stressed out with the season starting back up,"I'm feeling very stressed due to the sports season starting, which may affect my ability to succeed in this course."
239,COM212,9,6285,4,,NA
240,COM212,9,6286,4,"Feeling like I'm coming much much closer to catching up, not there yet but I'm feeling more accustomed to everything as time goes on. I need help fixing errors in my PA then I'm going to finish catching up on the HW",I need help fixing errors in my programming assignment so I can finish catching up on the homework.
241,COM212,9,6405,4,nope,NA
242,COM212,9,6577,4,"Nervous for the midterm, do not think i will be prepared. think writing it out on paper is whole different ball game.","I'm nervous about the midterm and feel unprepared, especially since writing it on paper is very different for me."
243,COM212,9,6598,4,My laptop got a virus I'm stressed,"I'm stressed because my laptop has a virus, which may affect my ability to complete coursework."
244,COM212,9,6702,4,None.,NA
245,COM212,9,6406,4,doing more coding homework to build competency with java,I would benefit from more coding homework to build my competency with Java.
246,COM212,9,6374,4,,NA
247,COM212,9,6594,4,thanks for being such a nice and forgiving processor,NA
248,COM212,9,6571,4,I don't feel like I am really learning or fully understanding java but I will try harder,I am struggling to fully understand Java and would benefit from additional support to improve my learning.
249,COM212,9,6194,4,it would help to see code alongside the explanation of different strings and lists- like the looped array,"It would help me to see code examples alongside explanations of strings, lists, and looped arrays."
297,COM212,10,6405,4,tired,NA
298,COM212,10,6406,4,nothing today,NA
299,COM212,10,6596,4,slow down,I would be more comfortable if you slowed down during class.
300,COM212,10,6194,4,no,NA
301,COM212,10,6598,4,My friend left college. I'm sad,NA
302,COM212,10,6575,4,i am grateful to be in class today,NA
