response_id,course,class_number,student_id,question_number,question_response,clean,anger,disgust,fear,joy,neutral,sadness,surprise,dominant_emotion,theme
1013,COM214,5,6406,4,Often the readings about the content of the class are due multiple days before the content is covered in class. I'd benefit if the textbook was more of a preview of what would be covered in class as often the textbook is very dense.,Often the readings about the content of the class are due multiple days before the content is covered in class. I'd benefit if the textbook was more of a preview of what would be covered in class as often the textbook is very dense.,0.0086,0.0222,0.0023,0.015,0.9367,0.0051,0.0101,neutral,"Pace, Content Coverage and In-Class Practice"
1014,COM214,5,6708,4,"Nothing, I think the textbook is a good resource.",,,,,,,,,,NA
1015,COM214,5,6583,4,"I wish we did not have to do the writeups for each class. It adds to the workload we already have and tends to produce stress as it is due twice a week. The readings are interesting and I love the class, I just find the writeups cause stress and more pressure that does not need to exist in this class.","I wish we did not have to do the writeups for each class. It adds to the workload we already have and tends to produce stress as it is due twice a week. The readings are interesting and I love the class, I just find the writeups cause stress and more pressure that does not need to exist in this class.",0.007,0.0222,0.0038,0.305,0.3495,0.1823,0.1302,neutral,"Workload, Stress and Well-being"
1016,COM214,5,6718,4,I find the readings very interesting and helpful during homework but I get discouraged by the forum posts. I find that 500 words is much longer than can be easily written about our homework assignments and struggle to reach the desired lenght of post despite having read and absorbed the homework content.,I find the readings very interesting and helpful during homework but I get discouraged by the forum posts. I find that 500 words is much longer than can be easily written about our homework assignments and struggle to reach the desired lenght of post despite having read and absorbed the homework content.,0.0174,0.0925,0.2172,0.0273,0.1008,0.4724,0.0723,sadness,Assignments and Grading
1017,COM214,5,6504,4,"I am a bit overwhelmed by the volume of content for this course- I think mastering HTML, CSS, Javascript, and Ruby in the span of 4 months won't be easy","I am a bit overwhelmed by the volume of content for this course- I think mastering HTML, CSS, Javascript, and Ruby in the span of 4 months won't be easy",0.0073,0.0027,0.0654,0.0028,0.0068,0.0017,0.9133,surprise,"Pace, Content Coverage and In-Class Practice"
1018,COM214,5,6712,4,let us pick our groups,let us pick our groups,0.0163,0.0045,0.0039,0.0085,0.9555,0.0063,0.0051,neutral,Other
1019,COM214,5,6288,4,I was thinking about maybe lowering the writing limit for the SWA. I've been finding it really hard to get to the 500 without feeling like I'm just summarizing everything I just read. It gets a bit frustrating because I feel like I'm not doing good enough on them.,I was thinking about maybe lowering the writing limit for the SWA. I've been finding it really hard to get to the 500 without feeling like I'm just summarizing everything I just read. It gets a bit frustrating because I feel like I'm not doing good enough on them.,0.0787,0.0394,0.0052,0.0045,0.0561,0.7997,0.0164,sadness,Assignments and Grading
1020,COM214,5,6707,4,"I think for the programming assignments, if you could go a little more into depth about them during class, that would make me feel more comfortable. Another thing I think would be interesting is like a running list of features that we have learned through the course. The more we go the more we add, and sometimes it is overwhelming just knowing how to do simple things when there are so many things that are thrown at us.","I think for the programming assignments, if you could go a little more into depth about them during class, that would make me feel more comfortable. Another thing I think would be interesting is like a running list of features that we have learned through the course. The more we go the more we add, and sometimes it is overwhelming just knowing how to do simple things when there are so many things that are thrown at us.",0.0043,0.0219,0.0072,0.3316,0.6073,0.0031,0.0246,neutral,"Pace, Content Coverage and In-Class Practice"
1021,COM214,5,6598,4,,,,,,,,,,,NA
1022,COM214,5,6147,4,not right now,,,,,,,,,,NA
1023,COM214,5,6575,4,i really wish that we could choose our group assignment partners for future assignments,i really wish that we could choose our group assignment partners for future assignments,0.0018,0.0006,0.0098,0.1139,0.0091,0.8318,0.0329,sadness,Assignments and Grading
1024,COM214,5,6709,4,nothing so far that I have encountered,,,,,,,,,,NA
1096,COM214,7,6711,4,,,,,,,,,,,NA
1097,COM214,7,6598,4,Nope,,,,,,,,,,NA
1098,COM214,7,6147,4,no,,,,,,,,,,NA
1099,COM214,7,6703,4,none,,,,,,,,,,NA
1100,COM214,7,6708,4,"No, I'm excited to code more!",,,,,,,,,,NA
1101,COM214,7,6583,4,Just had a particularly bad day yesterday where I was unable to work. Hopefully this is a one off,,,,,,,,,,NA
1102,COM214,7,6376,4,no,,,,,,,,,,NA
1103,COM214,7,6575,4,this is a really hard day for me today but i really love learning having a hard day outside of class glad i can be sitting here,this is a really hard day for me today but i really love learning having a hard day outside of class glad i can be sitting here,0.0044,0.0009,0.0017,0.2676,0.0043,0.7107,0.0105,sadness,"Workload, Stress and Well-being"
1104,COM214,7,6406,4,Nothing today,,,,,,,,,,NA
1105,COM214,7,6716,4,None.,,,,,,,,,,NA
1106,COM214,7,6714,4,3,,,,,,,,,,NA
1107,COM214,7,6597,4,I think it would help if we had more prep in class relating to the PA assignments I always feel a little bit confused or very stressed for them,I think it would help if we had more prep in class relating to the PA assignments I always feel a little bit confused or very stressed for them,0.0152,0.0039,0.881,0.001,0.0167,0.0267,0.0555,fear,Confidence and Support Needs
1108,COM214,7,6707,4,,,,,,,,,,,NA
1109,COM214,7,6715,4,"The readings are super interesting, but I struggle to fill 500 words. It's difficult to find the motivation to keep reading knowing that I'll have to embellish some of what I'm writing simply because I can't find the content to fill the word count. The reflections are vital to tracking our understanding, but I think a lower minimum word count would be beneficial.","The readings are super interesting, but I struggle to fill 500 words. It's difficult to find the motivation to keep reading knowing that I'll have to embellish some of what I'm writing simply because I can't find the content to fill the word count. The reflections are vital to tracking our understanding, but I think a lower minimum word count would be beneficial.",0.0089,0.03,0.012,0.019,0.7814,0.0759,0.0728,neutral,Assignments and Grading
1110,COM214,7,6712,4,less reading,less reading,0.0154,0.0429,0.0059,0.0093,0.3595,0.4994,0.0675,sadness,"Workload, Stress and Well-being"
1111,COM214,7,6504,4,No,,,,,,,,,,NA
1112,COM214,7,6709,4,nothing right now,,,,,,,,,,NA
1180,COM214,8,4806,4,lets go,,,,,,,,,,NA
1181,COM214,8,6716,4,None.,,,,,,,,,,NA
1182,COM214,8,6709,4,na,,,,,,,,,,NA
1183,COM214,8,6703,4,none,,,,,,,,,,NA
1184,COM214,8,6147,4,no,,,,,,,,,,NA
1185,COM214,8,6707,4,maybe a little more class practice,maybe a little more class practice,0.008,0.0248,0.004,0.0082,0.9385,0.0097,0.0069,neutral,"Pace, Content Coverage and In-Class Practice"
1186,COM214,8,6712,4,nah,,,,,,,,,,NA
1187,COM214,8,6406,4,nothing today,,,,,,,,,,NA
1188,COM214,8,6580,4,Having a review day,Having a review day,0.0214,0.0142,0.0695,0.1551,0.446,0.1273,0.1664,neutral,"Pace, Content Coverage and In-Class Practice"
1189,COM214,8,6376,4,No,,,,,,,,,,NA
1190,COM214,8,6598,4,no,,,,,,,,,,NA
1191,COM214,8,6288,4,Currently I just feel a bit low and anxious because I've been sick and it's been hard to do work and catch up while being sick since I get sick really bad. But I've manage to try and stay on top of more pressing things like the PA.,Currently I just feel a bit low and anxious because I've been sick and it's been hard to do work and catch up while being sick since I get sick really bad. But I've manage to try and stay on top of more pressing things like the PA.,0.0021,0.0035,0.9403,0.003,0.0146,0.0348,0.0017,fear,"Workload, Stress and Well-being"
1192,COM214,8,6575,4,happy to be in class,,,,,,,,,,NA
1193,COM214,8,6583,4,Got confused and did the wrong reading,Got confused and did the wrong reading,0.0498,0.0239,0.093,0.0017,0.6803,0.0886,0.0627,neutral,Confidence and Support Needs
1269,COM214,9,6707,4,,,,,,,,,,,NA
1270,COM214,9,6709,4,no,,,,,,,,,,NA
