student_id,class_number,course,Q1,Q2,Q3,question_response,summary
4806,8,COM214,5,5,5,lets go,NA
4806,9,COM214,5,5,5,NA,NA
4806,14,COM214,5,5,5,5,NA
4806,16,COM214,5,5,5,5,NA
4806,21,COM214,5,5,5,this is garzain pls save my answers😭😭😭😭,NA
4806,25,COM214,5,5,5,no,NA
6147,5,COM214,4,3,5,not right now,NA
6147,7,COM214,3,3,4,no,NA
6147,8,COM214,2,2,3,no,NA
6147,9,COM214,4,2,3,NA,NA
6147,14,COM214,4,1,3,NA,NA
6147,16,COM214,2,2,4,NA,NA
6149,5,COM214,5,4,5,NA,NA
6149,8,COM214,4,3,5,NA,NA
6149,9,COM214,5,4,5,NA,NA
6149,12,COM214,4,4,5,NA,NA
6149,13,COM214,4,5,5,NA,NA
6194,5,COM212,2,4,1,"I feel like the homework assignments do not reflect the work we do in class, so sitting down to do it and it is unfamiliar is discouraging. The TA sessions are helpful, but it would be nice to have something that I feel prepared to figure out on my own.","I find the homework assignments disconnected from classwork, making them discouraging; I would appreciate assignments that better align with what we cover in class so I feel more prepared to tackle them independently."
6194,7,COM212,4,5,4,NA,NA
6194,8,COM212,4,3,4,no,NA
6194,9,COM212,3,3,3,it would help to see code alongside the explanation of different strings and lists- like the looped array,"It would help me to see code examples alongside explanations of strings, lists, and looped arrays."
6194,10,COM212,4,4,3,no,NA
6194,12,COM212,4,4,3,no,NA
6194,13,COM212,2,3,2,no,NA
6194,17,COM212,4,1,4,no,NA
6194,20,COM212,4,3,2,NA,NA
6194,21,COM212,3,4,3,no,NA
6194,22,COM212,4,4,3,no,NA
6194,25,COM212,4,3,2,no,NA
6236,5,COM214,4,3,4,NA,NA
6236,7,COM214,4,3,4.5,NA,NA
6236,8,COM214,4,2.5,4,NA,NA
6236,9,COM214,4,3.5,4,NA,NA
6236,10,COM214,5,3,4.5,NA,NA
6236,13,COM214,5,3.5,5,NA,NA
6236,15,COM214,5,3,4.5,NA,NA
6236,16,COM214,4,3.5,5,NA,NA
6236,17,COM214,4.5,3.5,5,NA,NA
6236,18,COM214,5,3,4.5,NA,NA
6236,19,COM214,4.5,3,5,NA,NA
6236,20,COM214,5,4,5,NA,NA
6236,22,COM214,4,3,5,NA,NA
6236,24,COM214,5,4,5,NA,NA
6236,25,COM214,5,4,5,NA,NA
6236,26,COM214,4,4.5,5,NA,NA
6285,5,COM212,3,1,3,NA,NA
6285,9,COM212,0,0,2,NA,NA
6285,11,COM212,3,3,2,complaints about midterm from past years are scaring me,"I'm concerned about the difficulty of past midterms, which is making me anxious about the exam."
6285,14,COM212,3,3,3,NA,NA
6285,17,COM212,2,4,3,na,NA
6285,18,COM212,3,2,3,NA,NA
6285,19,COM212,3,2,3,NA,NA
6285,20,COM212,3,3,3,NA,NA
6285,21,COM212,2,2,3,NA,NA
6285,22,COM212,2,2,2,NA,NA
6285,23,COM212,2,2,2,NA,NA
6285,24,COM212,3,2,3,NA,NA
6285,25,COM212,2,2,2,NA,NA
